Timestamps,Type1,Data1
29/11/2019,SDG-STD,1.09977761
30/11/2019,SDG-STD,1.099757786
01/12/2019,SDG-STD,1.099600147
02/12/2019,SDG-STD,1.100645233
03/12/2019,SDG-STD,1.102966226
04/12/2019,SDG-STD,1.103933694
05/12/2019,SDG-STD,1.104284249
06/12/2019,SDG-STD,1.104643273
07/12/2019,SDG-STD,1.106112101
08/12/2019,SDG-STD,1.105552012
09/12/2019,SDG-STD,1.104565957
10/12/2019,SDG-STD,1.104616709
11/12/2019,SDG-STD,1.104505264
12/12/2019,SDG-STD,1.10437462
13/12/2019,SDG-STD,1.099964334
14/12/2019,SDG-STD,1.0985056
15/12/2019,SDG-STD,1.097204586
16/12/2019,SDG-STD,1.094395314
17/12/2019,SDG-STD,1.094060758
18/12/2019,SDG-STD,1.096049822
19/12/2019,SDG-STD,1.098178169
20/12/2019,SDG-STD,1.097457144
21/12/2019,SDG-STD,1.097521907
22/12/2019,SDG-STD,1.097342379
23/12/2019,SDG-STD,1.094939371
24/12/2019,SDG-STD,1.094071324
25/12/2019,SDG-STD,1.092466537
26/12/2019,SDG-STD,1.091763918
27/12/2019,SDG-STD,1.092262557
28/12/2019,SDG-STD,1.094161877
29/12/2019,SDG-STD,1.095604502
30/12/2019,SDG-STD,1.096436092
31/12/2019,SDG-STD,1.097874715
01/01/2020,SDG-STD,1.102601093
02/01/2020,SDG-STD,1.102838719
03/01/2020,SDG-STD,1.10657809
04/01/2020,SDG-STD,1.111559723
05/01/2020,SDG-STD,1.11306585
06/01/2020,SDG-STD,1.114641616
07/01/2020,SDG-STD,1.115865329
08/01/2020,SDG-STD,1.120988451
09/01/2020,SDG-STD,1.12243366
10/01/2020,SDG-STD,1.120034426
11/01/2020,SDG-STD,1.120290281
12/01/2020,SDG-STD,1.120242258
13/01/2020,SDG-STD,1.119300723
14/01/2020,SDG-STD,1.117935451
15/01/2020,SDG-STD,1.116796677
16/01/2020,SDG-STD,1.115386543
17/01/2020,SDG-STD,1.114018457
18/01/2020,SDG-STD,1.113515829
19/01/2020,SDG-STD,1.113901263
20/01/2020,SDG-STD,1.113292879
21/01/2020,SDG-STD,1.114324711
22/01/2020,SDG-STD,1.116279701
23/01/2020,SDG-STD,1.118645188
24/01/2020,SDG-STD,1.12095543
25/01/2020,SDG-STD,1.12201057
26/01/2020,SDG-STD,1.122270259
27/01/2020,SDG-STD,1.126205021
28/01/2020,SDG-STD,1.127035569
29/01/2020,SDG-STD,1.129141768
30/01/2020,SDG-STD,1.131986611
31/01/2020,SDG-STD,1.13283516
01/02/2020,SDG-STD,1.134746057
02/02/2020,SDG-STD,1.136028837
03/02/2020,SDG-STD,1.137469857
04/02/2020,SDG-STD,1.138451135
05/02/2020,SDG-STD,1.137117001
06/02/2020,SDG-STD,1.137429938
07/02/2020,SDG-STD,1.138782526
08/02/2020,SDG-STD,1.141277103
09/02/2020,SDG-STD,1.142566853
10/02/2020,SDG-STD,1.144993046
11/02/2020,SDG-STD,1.144853262
12/02/2020,SDG-STD,1.143256339
13/02/2020,SDG-STD,1.14288313
14/02/2020,SDG-STD,1.140042579
15/02/2020,SDG-STD,1.140222053
16/02/2020,SDG-STD,1.138394484
17/02/2020,SDG-STD,1.139507542
18/02/2020,SDG-STD,1.139360322
19/02/2020,SDG-STD,1.139320123
20/02/2020,SDG-STD,1.138020638
21/02/2020,SDG-STD,1.137996208
22/02/2020,SDG-STD,1.136720479
23/02/2020,SDG-STD,1.134688659
24/02/2020,SDG-STD,1.137195673
25/02/2020,SDG-STD,1.138851121
26/02/2020,SDG-STD,1.141527958
27/02/2020,SDG-STD,1.143589538
28/02/2020,SDG-STD,1.149214569
29/02/2020,SDG-STD,1.151290339
01/03/2020,SDG-STD,1.15177512
02/03/2020,SDG-STD,1.151480406
03/03/2020,SDG-STD,1.151976991
04/03/2020,SDG-STD,1.150031973
05/03/2020,SDG-STD,1.151202273
06/03/2020,SDG-STD,1.154111769
07/03/2020,SDG-STD,1.154220669
08/03/2020,SDG-STD,1.15278487
09/03/2020,SDG-STD,1.161402553
10/03/2020,SDG-STD,1.166988646
11/03/2020,SDG-STD,1.169656784
12/03/2020,SDG-STD,1.174395466
13/03/2020,SDG-STD,1.172916242
14/03/2020,SDG-STD,1.17068839
15/03/2020,SDG-STD,1.170003621
16/03/2020,SDG-STD,1.171889944
17/03/2020,SDG-STD,1.171856969
18/03/2020,SDG-STD,1.172297888
19/03/2020,SDG-STD,1.173501121
20/03/2020,SDG-STD,1.175350053
21/03/2020,SDG-STD,1.17464486
22/03/2020,SDG-STD,1.173566855
23/03/2020,SDG-STD,1.17094031
24/03/2020,SDG-STD,1.166700362
25/03/2020,SDG-STD,1.162460782
26/03/2020,SDG-STD,1.162265512
27/03/2020,SDG-STD,1.160359613
28/03/2020,SDG-STD,1.159981269
29/03/2020,SDG-STD,1.16202161
30/03/2020,SDG-STD,1.16308436
31/03/2020,SDG-STD,1.159280495
01/04/2020,SDG-STD,1.159757671
